Номеров,Стоимость,Внесена предоплата,Ночей,Гостей,Гостиница,Способ оплаты_Банк. карта (SberPay): Эквайринг ComfortBooking (Банк. карта) (SberPay),Способ оплаты_Банк. карта (Yandex Pay): Эквайринг ComfortBooking (Банк. карта) (Yandex Pay),Способ оплаты_Банк. карта [Кешбэк. МИР]: Эквайринг ComfortBooking (Банк. карта),Способ оплаты_Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),Способ оплаты_Банк. карта: Банк Россия (банк. карта),Способ оплаты_Банк. карта: Эквайринг ComfortBooking (Банк. карта),Способ оплаты_Внешняя система оплаты,Способ оплаты_Внешняя система оплаты (Банковская карта),Способ оплаты_Внешняя система оплаты (Оплата наличными),Способ оплаты_Внешняя система оплаты (С предоплатой),Способ оплаты_Гарантия банковской картой,Способ оплаты_Отложенная электронная оплата: Банк Россия (банк. карта),Способ оплаты_При заселении,Способ оплаты_Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),Источник_101hotels.com,"Источник_Acase.ru (ООО ""АКАДЕМ-ОНЛАЙН"")","Источник_Acase.ru (ООО ""КАЛЕЙДОСКОП"")","Источник_Acase.ru (ООО ""ПРАНДИУМ"")",Источник_Alean.ru (03.02.2022-31.01.2023),Источник_Alean.ru (13.10.2023-02.06.2025),Источник_Alean.ru (16.01.2023-06.09.2024),Источник_Alean.ru (20.01.2021-31.01.2022),Источник_Alean.ru (31.10.2023-22.06.2025),Источник_Bronevik.com(new),Источник_Bronevik.com/Bro.Online,Источник_Cuva,Источник_OneTwoTrip,Источник_Otello,Источник_Ozon,Источник_Svoy Hotel,Источник_Zabroniryi.ru,Источник_booking.com,Источник_booking.com (Booking.com),Источник_expedia.com (A-Hotels.com),Источник_ostrovok.ru,Источник_Бронирование из экстранета,Источник_ВКонтакте,Источник_Официальный сайт,Источник_Программа лояльности,Источник_Тинькофф Путешествия,Источник_Яндекс.Путешествия,"Категория номера_1. Апартаменты с 2 спальнями с отдельным входом
2. Апартаменты с 2 спальнями с отдельным входом","Категория номера_1. Апартаменты с 2 спальнями с отдельным входом
2. Апартаменты с 2 спальнями с отдельным входом
3. Апартаменты с 2 спальнями с отдельным входом","Категория номера_1. Апартаменты с 2 спальнями с отдельным входом
2. Апартаменты с 2 спальнями с отдельным входом
3. Номер «Стандарт»","Категория номера_1. Коттедж с 2 спальнями
2. Коттедж с 2 спальнями","Категория номера_1. Коттедж с 2 спальнями
2. Коттедж с 2 спальнями
3. Коттедж с 2 спальнями","Категория номера_1. Коттедж с 2 спальнями
2. Коттедж с 3 спальнями","Категория номера_1. Коттедж с 3 спальнями
2. Коттедж с 3 спальнями","Категория номера_1. Коттедж с 3 спальнями
2. Коттедж с 3 спальнями
3. Коттедж с 3 спальнями","Категория номера_1. Коттедж с 3 спальнями
2. Номер «Стандарт»
3. Коттедж с 3 спальнями","Категория номера_1. Коттедж с 3 спальнями
2. Номер «Стандарт»
3. Номер «Стандарт»","Категория номера_1. Номер «Люкс»
2. Номер «Люкс»","Категория номера_1. Номер «Люкс»
2. Номер «Стандарт»","Категория номера_1. Номер «Люкс»
2. Номер «Стандарт»
3. Номер «Стандарт»","Категория номера_1. Номер «Стандарт»
2. Апартаменты с 2 спальнями с отдельным входом
3. Номер «Стандарт»","Категория номера_1. Номер «Стандарт»
2. Номер «Люкс»","Категория номера_1. Номер «Стандарт»
2. Номер «Стандарт»","Категория номера_1. Номер «Стандарт»
2. Номер «Стандарт»
3. Номер «Люкс»
4. Номер «Стандарт»","Категория номера_1. Номер «Стандарт»
2. Номер «Стандарт»
3. Номер «Стандарт»","Категория номера_1. Номер «Стандарт»
2. Номер «Стандарт»
3. Номер «Стандарт»
4. Номер «Стандарт»
5. Номер «Стандарт»
6. Номер «Стандарт»","Категория номера_1. Номер «Стандарт»
2. Номер «Стандарт»
3. Номер «Стандарт»
4. Номер «Стандарт» для маломобильных групп населения","Категория номера_1. Номер «Стандарт»
2. Номер «Стандарт» для маломобильных групп населения",Категория номера_Апартаменты с 2 спальнями с отдельным входом,Категория номера_Коттедж с 2 спальнями,Категория номера_Коттедж с 3 спальнями,Категория номера_Номер «Люкс»,Категория номера_Номер «Стандарт»,Категория номера_Номер «Стандарт» для маломобильных групп населения,Категория номера_Номер «Студия»,Разница_бронирование_заезд,Дней отпуска,Сезон,День недели бронирования,День бронирования,День заезда,Месяц заезда,День недели заезда,prepayment_ratio,Доля_предоплаты_от_средней_стоимости,Остаток_к_оплате,guests_per_room,Категория_стоимости,Полная_предоплата,Бронирование_в_выходной,Last_Minute_Booking,Длительное_проживание,Категория_разницы_времени,Категория_длительности_отпуска,Бронирование_в_праздник,Заезд_в_праздник,мобилизация_август_2022,военные_действия_февраль_2022,санкции_авиа_март_2022,эконом_кризис_октябрь_2022,крым_угрозы_май_2023,Средняя_температура,Основное_погодное_условие
1,25700.0,0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,2,4,3,20,28,4,4,0.0,0.0,25700.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,12.666666666666666,1
1,24800.0,12400,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23,1,7,5,18,11,7,0,0.5,0.5,12400.0,2.0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,24.625,1
1,25800.0,12900,2,2,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,1,12,0,14,4,12,6,0.5,0.5,12900.0,2.0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,-8.95,12
1,10500.0,0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,0,9,4,8,18,9,0,0.0,0.0,10500.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,17.1,6
1,28690.0,28690,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,1,5,5,20,29,5,0,1.0,1.0,0.0,4.0,2,1,1,0,0,1,0,0,0,0,0,0,1,1,15.65,5
1,39100.0,8755,4,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,3,9,1,15,4,9,0,0.22391304347826088,0.22391304347826088,30345.0,3.0,3,0,0,0,0,1,1,0,0,0,0,0,1,1,20.0875,7
1,7650.0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,2,1,15,18,2,4,0.0,0.0,7650.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.85,11
1,26200.0,0,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22,1,9,1,29,21,9,3,0.0,0.0,26200.0,2.0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,18.05,12
1,14400.0,0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,0,6,0,12,25,6,6,0.0,0.0,14400.0,2.0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,20.15,5
1,11200.0,6700,1,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85,0,1,2,1,26,1,4,0.5982142857142857,0.5982142857142857,4500.0,2.0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,-11.0,11
